"","Precinct","Shape_Leng","Shape_Area","id","precpop","offpcap"
"1",1,79979.3433039,47182078.4315,"0",2528.1875,0.084991718
"2",5,18676.1242594,18088797.9526,"1",5884.81818181818,0.027497567
"3",6,27182.610113,22131930.5185,"2",5313.16666666667,0.037438439
"4",7,17301.4757772,18363385.1839,"3",5090.4,0.019448373
"5",9,19773.4018725,21394013.3755,"4",4806.46666666667,0.029335479
"6",10,40043.1752513,27228634.2373,"5",3381.63636363636,0.037582666
"7",13,27719.1716689,29508893.7429,"6",5313.125,0.039018939
"8",14,20974.7092434,20510163.8342,"7",1345.71428571429,0.727919321
"9",17,26622.0028113,22269687.0466,"8",6553.91666666667,0.025786108
"10",18,42179.9057771,32280333.9033,"9",3323.38888888889,0.093729627
"11",19,30152.6566315,48744682.0537,"10",6694.93548387097,0.020178951
"12",20,27040.9943824,27671000.1457,"11",7395.53846153846,0.018119032
"13",22,32701.3491697,38301388.6636,"12",18,6.944444444
"14",23,19438.1120876,21467730.8345,"13",4980.76923076923,0.023305019
"15",24,20706.9190759,25479873.3684,"14",8394.23076923077,0.01424055
"16",25,52199.0073784,44793124.9642,"15",4076.38461538462,0.02171985
"17",26,23938.4970908,23836014.4494,"16",4130.16666666667,0.022033009
"18",28,17098.9870878,15289544.596,"17",3552.27272727273,0.030633397
"19",30,21627.0008726,18837442.2339,"18",6943.11111111111,0.023732557
"20",32,25291.4113592,23009990.3639,"19",3982.70588235294,0.025064248
"21",33,21744.6022523,25863124.4988,"20",6590.46153846154,0.015278491
"22",34,45567.0203008,52113460.9156,"21",6136.9,0.016107481
"23",40,33335.0193728,60404982.0475,"22",3288.96,0.029784491
"24",41,48004.2121574,62136802.8276,"23",2679.11111111111,0.038030856
"25",42,33516.1632612,44818131.9004,"24",3360.85,0.027344273
"26",43,62190.1293536,113325221.602,"25",4008.42857142857,0.021240957
"27",44,31395.738554,55530142.1101,"26",4761,0.026689554
"28",45,309283.15765,271366645.122,"27",3664.5625,0.017353709
"29",46,29627.9860963,38323373.3815,"28",5076.38461538462,0.022525116
"30",47,86531.0910036,160530903.165,"29",3105.65217391304,0.020663587
"31",48,34316.3448396,43057143.4513,"30",3345.95454545455,0.03041665
"32",49,45768.1759216,105809974.132,"31",2875.075,0.022355939
"33",50,52230.5051879,136112621.464,"32",3741.2962962963,0.017284562
"34",52,65671.234475,80116628.6676,"33",5066.46428571429,0.025792854
"35",60,66157.6357329,88169556.0561,"34",4412,0.021604714
"36",61,128324.222864,134635110.07,"35",2866.98181818182,0.022735344
"37",62,51716.7009968,103208535.31,"36",3077.89090909091,0.014868505
"38",63,205126.175843,229441741.998,"37",2335.68085106383,0.019976862
"39",66,52362.5007775,99520789.1051,"38",3450.29411764706,0.012508169
"40",67,43288.9431384,93744758.4403,"39",3369.46,0.023659578
"41",68,44530.8674182,110940958.563,"40",2329.1320754717,0.014589612
"42",69,119784.821603,107316655.273,"41",2472.74285714286,0.02600929
"43",70,49075.6736317,82181407.8152,"42",4148.5,0.026666265
"44",71,29978.0942611,45331787.1744,"43",4155.29166666667,0.030493247
"45",72,89173.4526053,104650199.882,"44",3669.24324324324,0.015888098
"46",73,33034.6609396,51771864.9851,"45",3428.92307692308,0.030442391
"47",75,114009.988899,183100917.807,"46",2980.3275862069,0.02762367
"48",76,68146.7843678,48237925.0647,"47",3082,0.018991997
"49",77,34662.4412913,42651832.1266,"48",3541.08,0.028590148
"50",78,39797.3638062,67677111.1349,"49",2964.95454545455,0.02638397
"51",79,28256.6021125,44975546.9316,"50",3048,0.030098668
"52",81,28386.7189929,34485430.7622,"51",3224.83333333333,0.031164401
"53",83,36940.1948044,56650181.4334,"52",3478.6,0.024463865
"54",84,38088.3948883,35462930.7737,"53",2630.4375,0.043077435
"55",88,53342.435863,42391696.9605,"54",2657.65,0.031192971
"56",90,51583.3127645,66154252.9707,"55",3607,0.019750868
"57",94,44570.1646853,65641894.0561,"56",2322.29166666667,0.018013815
"58",100,283995.945115,205185208.374,"57",2812.85714285714,0.012045705
"59",101,78292.5943906,84672755.2813,"58",7017.11111111111,0.022453051
"60",102,52865.2810669,133314470.842,"59",2642.53846153846,0.022392513
"61",103,48549.9379817,100921594.951,"60",2758.63888888889,0.029251543
"62",104,75785.9455075,210504683.703,"61",2533.34848484848,0.018283384
"63",105,133234.881924,347328139.609,"62",2819.49275362319,0.015189288
"64",106,106986.706883,172508228.167,"63",3762.73529411765,0.022339819
"65",107,69289.8837732,207501246.614,"64",3665.15,0.018437172
"66",108,73560.8890093,139601011.656,"65",3479.51515151515,0.024062914
"67",109,132333.980989,322683809.429,"66",3868.09523809524,0.016660511
"68",110,72812.6108644,112103959.243,"67",5490.54545454545,0.015574983
"69",111,97451.1036191,260157155.656,"68",2908.95,0.013870984
"70",112,41644.0361561,88945075.9453,"69",3658.77419354839,0.018003562
"71",113,214242.997647,389637204.164,"70",2303.35185185185,0.027190648
"72",114,113660.113185,180006200.205,"71",3396,0.016933949
"73",115,58272.2043476,113293878.523,"72",4743.59375,0.019901841
"74",120,96171.7340003,232535269.127,"73",3029.65714285714,0.022133575
"75",121,138115.721207,475716087.709,"74",4306.34615384615,NA
"76",122,154880.438293,454798513.218,"75",4154.15151515152,0.012342527
"77",123,120834.97483,460864352.981,"76",5539.875,0.007175252
